0000 120	
26.150330 	27.706006 
25.028175 	27.794913 
25.028175 	26.740090 
24.612639 	26.228661 
23.717637 	25.589374 
23.973352 	24.758301 
23.238172 	23.991157 
22.439064 	23.287941 
22.000000 	22.000000 
22.375135 	20.794723 
22.279242 	19.803828 
21.064597 	19.196506 
20.079131 	19.293919 
19.178701 	18.653112 
18.123878 	19.548114 
17.580484 	20.826687 
16.877269 	21.689724 
16.845305 	22.584726 
15.758517 	23.415799 
15.346384 	24.676142 
14.096372 	24.790265 
13.336493 	25.820848 
13.552978 	26.772054 
12.950487 	27.524597 
12.284961 	28.203434 
11.579502 	27.418113 
11.246739 	26.579549 
10.514659 	27.178523 
10.315496 	27.978990 
10.233201 	28.743157 
9.539573 	28.519785 
8.822431 	28.108311 
8.822256 	27.187591 
8.892970 	26.250796 
8.000000 	26.000000 
7.223558 	25.427847 
7.575647 	24.310800 
8.694398 	23.991157 
9.141899 	22.776512 
9.109935 	21.434010 
9.237792 	20.155436 
8.982077 	19.196506 
8.918149 	17.885968 
7.863326 	16.863109 
7.032253 	16.064001 
5.977430 	15.328821 
5.945465 	14.401855 
5.402072 	13.634711 
5.945465 	12.388102 
5.916122 	11.298981 
6.907873 	11.651958 
8.337533 	11.931674 
9.083442 	10.719571 
9.549635 	9.507469 
10.140147 	8.606162 
11.414408 	8.295366 
11.134692 	7.207582 
11.053701 	6.281543 
10.508654 	5.347176 
11.365157 	5.914484 
12.636934 	4.957857 
13.000000 	4.000000 
13.752984 	3.115077 
15.154534 	2.933395 
16.140811 	3.660125 
16.815631 	3.063168 
17.023268 	2.258574 
18.076899 	2.249489 
18.632456 	3.089123 
18.450774 	4.360900 
17.931681 	5.580768 
18.658411 	6.411316 
19.825687 	6.149287 
20.449281 	6.878500 
21.565330 	7.138046 
22.240151 	6.489180 
23.252382 	6.956364 
24.290567 	6.852545 
25.536390 	6.541090 
25.925709 	7.449502 
27.132810 	7.329816 
28.000000 	8.000000 
28.804288 	8.947375 
30.017457 	9.082171 
30.907114 	9.621357 
32.000000 	10.000000 
32.308998 	11.238916 
31.581097 	11.939858 
30.475765 	11.885940 
29.262596 	11.885940 
29.154759 	12.937353 
27.995508 	12.937353 
27.078892 	13.746132 
27.618078 	14.905383 
28.000000 	16.000000 
27.186729 	16.792535 
26.485787 	17.547396 
26.998014 	18.625768 
27.510241 	19.542385 
27.342305 	20.284274 
26.712583 	20.913996 
25.925429 	20.734076 
25.279234 	20.297635 
25.000000 	21.000000 
24.954332 	21.743450 
24.743145 	22.377010 
25.409195 	23.026814 
26.082860 	22.960595 
26.892503 	23.410397 
27.747127 	23.005576 
28.804162 	23.252967 
29.456375 	23.972650 
29.456375 	24.939724 
28.916612 	25.771858 
28.196929 	25.254586 
27.252345 	24.894744 
26.555152 	25.389526 
26.982464 	26.334110 
26.307761 	26.828892 
26.870013 	27.593556 
26.150330 	27.706006 
0000 	15
12.468855 	21.756906 
12.096015 	20.855875 
11.785314 	19.457724 
11.598894 	18.121713 
11.790731 	17.001601 
12.962952 	16.860126 
13.494166 	17.811012 
14.022356 	18.929533 
14.985527 	18.339203 
16.000000 	18.000000 
16.641302 	18.497193 
16.290468 	19.550934 
15.513718 	20.296614 
14.364127 	21.011225 
13.835936 	21.632626 
12.468855 	21.756906 
0000 	25 
20.884218 	16.149120 
21.294642 	15.411147 
21.856153 	14.771649 
21.497410 	14.038565 
20.920302 	13.414665 
20.499461 	12.727916 
21.010512 	12.318197 
21.528605 	12.728374 
22.043323 	13.274287 
22.620432 	13.882590 
23.076225 	13.063389 
23.416544 	12.351814 
24.133391 	12.042083 
24.616914 	12.510008 
24.468438 	13.249018 
24.000000 	14.000000 
23.354667 	14.857797 
23.883831 	15.707500 
24.429744 	16.346998 
24.258171 	16.970899 
23.493893 	16.705741 
23.057162 	16.175426 
22.713048 	15.599125 
22.000000 	16.000000 
21.473591 	16.471872 
20.884218 	16.149120 
0000 	18
13.752369 	14.992137 
12.939355 	15.269751 
12.245318 	14.853329 
11.491793 	14.198952 
12.185830 	13.425598 
12.803141 	12.561450 
13.666394 	11.781739 
14.056460 	10.775954 
14.109173 	9.642627 
14.557232 	8.693796 
15.426995 	8.324806 
16.586678 	8.983717 
17.000000 	10.000000 
16.250899 	11.026215 
15.477544 	11.799570 
14.664530 	12.275481 
14.426575 	13.286790 
14.089472 	14.179123 
13.752369 	14.992137 
404 	
